year,state,race,edu.bs,edu.hs,edu.tot,emp.tot,emp.ue,fin.cost,fin.tot,hom.own,hom.tot,inc.inc,inc.tot,occ.fam,occ.tot,pop.share,pop.share.ratio,pop.tot,pop.tot.all,val.cost,val.hom,val.inc,val.mort,val.tax,val.tot
2015,Alabama,White,0.2588357610696568,0.8603779764322397,2326653,2708018,0.07481310537817695,0.16536805106986394,1269145,0.7542868075479522,1311932,51298.32525390035,1311932,0.00379200170193318,1269145,0.6884134955761372,0.9474518881844736,3325464,4830620,0.16195226461453993,125365.68020202576,56452.6863447439,0.5819807823377156,552.2741184025466,1269145
2015,Alabama,Black,0.15909873374141184,0.8037248558308144,790044,984186,0.14731549524175308,0.16536805106986394,1269145,0.5152738251798227,472966,29639.865732420512,472966,0.00379200170193318,1269145,0.2642609023272375,2.101446697020955,1276544,4830620,0.16195226461453993,125365.68020202576,56452.6863447439,0.5819807823377156,552.2741184025466,1269145
2015,Alabama,Asian,0.4979896466804042,0.8632457154344876,39794,47486,0.04599787305732216,0.16536805106986394,1269145,0.5274850765637166,19265,54026.76065403582,19265,0.00379200170193318,1269145,0.01233775374589597,0.22894814850934217,59599,4830620,0.16195226461453993,125365.68020202576,56452.6863447439,0.5819807823377156,552.2741184025466,1269145
2015,Alabama,Other,0.1679580014482259,0.7039464156408399,82860,107155,0.12004675470113388,0.16536805106986394,5076580,0.5763338017315625,44122,35840.43746883641,44122,0.00379200170193318,5076580,0.03498784835072931,0.37314569800939007,169013,4830620,0.16195226461453993,125365.68020202576,56452.6863447439,0.5819807823377156,552.2741184025466,5076580
2015,Alaska,White,0.3306845487229827,0.9531740248477876,332102,391691,0.06166352813825183,0.18578508333672025,159056,0.6767891476180302,187240,79672.9288453322,187240,0.01327897092847801,159056,0.6603033918527357,0.9087644263305932,484250,733375,0.17878362948205803,246461.42050598533,87896.03008374409,0.6544927572678805,2741.6893546926867,159056
2015,Alaska,Black,0.21518317682846183,0.8935326015077375,15122,19527,0.11494361653095714,0.18578508333672025,159056,0.31465058531394097,8457,53096.19534113752,8457,0.01327897092847801,159056,0.03411897051303903,0.27131973462194287,25022,733375,0.17878362948205803,246461.42050598533,87896.03008374409,0.6544927572678805,2741.6893546926867,159056
2015,Alaska,Asian,0.23486118195729813,0.800845296218028,27446,33801,0.05243868524599864,0.18578508333672025,159056,0.5535992217898834,10280,64515.91819066147,10280,0.01327897092847801,159056,0.05852531106187148,1.0860373682694004,42921,733375,0.17878362948205803,246461.42050598533,87896.03008374409,0.6544927572678805,2741.6893546926867,159056
2015,Alaska,Other,0.1158516208087334,0.8455385986409714,89770,120193,0.16823653623755128,0.18578508333672025,636224,0.533636181441646,44907,51050.02959449529,44907,0.01327897092847801,636224,0.24705232657235385,2.634815148378885,181182,733375,0.17878362948205803,246461.42050598533,87896.03008374409,0.6544927572678805,2741.6893546926867,636224
2015,Arizona,White,0.2883911898847449,0.8785728683055017,3567127,4181208,0.08048169548130589,0.18848786431824935,1513861,0.6576665335109184,2007674,52520.31875991819,2007674,7.082552493260601e-4,1513861,0.7844612287275622,1.0796407640780192,5210335,6641928,0.18130572685480825,169252.70457459436,63098.24505486303,0.6571686568317698,1337.9428487820217,1513861
2015,Arizona,Black,0.22486703235248637,0.8837321371202836,168086,213083,0.13512898260302322,0.18848786431824935,1513861,0.33174190111263624,97606,39657.27576173596,97606,7.082552493260601e-4,1513861,0.04239371459612329,0.3371218773867405,281576,6641928,0.18130572685480825,169252.70457459436,63098.24505486303,0.6571686568317698,1337.9428487820217,1513861
2015,Arizona,Asian,0.5211640211640207,0.8717186292943868,137214,162262,0.05848447572444564,0.18848786431824935,1513861,0.5782022540920679,65126,66010.25680987624,65126,7.082552493260601e-4,1513861,0.03012528892213225,0.5590263239226536,200090,6641928,0.18130572685480825,169252.70457459436,63098.24505486303,0.6571686568317698,1337.9428487820217,1513861
2015,Arizona,Other,0.12472257848088572,0.7157689971097025,488877,650570,0.1507069508277357,0.18848786431824935,6055444,0.5077926665954633,243434,37130.08093774904,243434,7.082552493260601e-4,6055444,0.1430197677541822,1.5253070303953904,949927,6641928,0.18130572685480825,169252.70457459436,63098.24505486303,0.6571686568317698,1337.9428487820217,6055444
2015,Arkansas,White,0.22159084119449893,0.8622808082320065,1589989,1857350,0.06555445123428541,0.15506583254839565,752312,0.708479771081293,914211,45423.04491523292,914211,0.0071802656344708,752312,0.7801510238630955,1.073708701787632,2307849,2958208,0.15280690564726165,112393.29267644275,53551.64368107913,0.565955348312934,728.8874443050224,752312
2015,Arkansas,Black,0.14285975772707146,0.8106441941258515,273163,342917,0.1479546420854026,0.15506583254839565,752312,0.4467978789695837,170106,27053.521392543473,170106,0.0071802656344708,752312,0.15541435896326425,1.2358808603043143,459748,2958208,0.15280690564726165,112393.29267644275,53551.64368107913,0.565955348312934,728.8874443050224,752312
2015,Arkansas,Asian,0.4996345732199868,0.8582144093549255,25997,31993,0.05456449848404338,0.15506583254839565,752312,0.5252241715399609,12825,53961.05091617934,12825,0.0071802656344708,752312,0.01363528190039375,0.25302600536475445,40336,2958208,0.15280690564726165,112393.29267644275,53551.64368107913,0.565955348312934,728.8874443050224,752312
2015,Arkansas,Other,0.13260952277421464,0.6641482769866289,73592,96124,0.08493552078565186,0.15506583254839565,3009248,0.5352229688454491,40925,32646.58096518021,40925,0.0071802656344708,3009248,0.0507993352732465,0.5417753395102238,150275,2958208,0.15280690564726165,112393.29267644275,53551.64368107913,0.565955348312934,728.8874443050224,3009248
2015,California,White,0.3225077422343672,0.8426532640114446,16165553,19091080,0.09353116963524326,0.2440750824590747,6909176,0.5847228945679639,8525293,66688.46123705074,8525293,6.107385309044082e-4,6909176,0.6180663235528974,0.8506342612928386,23747013,38421464,0.22594329039687985,412515.6453388943,86665.20465754527,0.7288443658114947,3261.337963311399,6909176
2015,California,Black,0.22697546317443057,0.8847529578239848,1475578,1807540,0.16709700587538864,0.2440750824590747,6909176,0.3462871656224561,818162,43532.267031468095,818162,6.107385309044082e-4,6909176,0.05896149610540608,0.4688716346267794,2265387,38421464,0.22594329039687985,412515.6453388943,86665.20465754527,0.7288443658114947,3261.337963311399,6909176
2015,California,Asian,0.4969034921041506,0.8662627978231578,3763433,4376745,0.0740882393194029,0.2440750824590747,6909176,0.5749788643088629,1646504,80684.51881197981,1646504,6.107385309044082e-4,6909176,0.13695412543363783,2.541418324156262,5261978,38421464,0.22594329039687985,412515.6453388943,86665.20465754527,0.7288443658114947,3261.337963311399,6909176
